Name/Type|Responsible Department|Permit/Fee Name and Description|Statutory Authority |Fees As of Dec. 31, 2012|"Fees As of
June 30, 2011"|Fees As of April 1, 2012|Sec. 1-13 Increase Applies?|Sec. 1-14 Admin Fee Applies?|Increase Date|"(6)
Dept. Assignment: CATEGORY 
1 Permit
2 License 
3 Inspection
4 Plan Review
5 Support/Service
6 Other"|"(7)
Dept. Assignment
CRITERIA
1 Escalator/Ordinance
2 Contract 
3 State Law
4 Mkt. Driven
5 Other Escalator
6 Other"|"DECIMAL NOTES 
for PWE"|Fee As Jan 1, 2013|CPI increase 1.024214%in format #.####|Variance|% change|1.024214|PWE SEQUENCE Request|NOTE|Sequence Key|Change
Sidewalk & Roadway Obstructions & Impairments|PWE|Single lane closure of roadway on major thoroughfare or major collector street inside CBD, per lane, per block, per week - during peak traffic hours| 40-371 (Table)|139.34|130||Y|||1|1||142.71|#VALUE!|3.37|0.024185446|||||
Sidewalk & Roadway Obstructions & Impairments|PWE|Partial sidewalk impairment or obstruction (maintaining three feet of pedestrian way), per block, per week| 40-371 (Table)|61.93|60||Y|||1|1||63.42|#VALUE!|1.49|0.024059422|||||
Sidewalk & Roadway Obstructions & Impairments|PWE|Full sidewalk impairment or obstruction, per block, per week| 40-371 (Table)|98.06|95||Y|||1|1||100.43|#VALUE!|2.37|0.024168876|||||
Street & Sidewalks, Inspection of Certain Structures in Public   R-O-W|PWE|"Initial Fee for initial installation:
Minimum Fee "|40-192|1032.3|1000||Y|||3|1||1057.29|#VALUE!|24.99|0.024208079|||||
Street & Sidewalks, Inspection of Certain Structures in Public  R-O-W|PWE|"Initial Fee for initial installation:
Per Cubic Foot Fee if greater than Minimum"|40-192|33% of $0.01|33% of $0.01||Y|||3|1||33% of $0.01|#VALUE!|1% of 0.01|0.03030303|||||
Street & Sidewalks, Inspection of Certain Structures in Public R_O_W|PWE|"Annual Inspection Fee:
Per Cubic Foot or Minimum, whichever is greater."|40-192(3)|33% of $0.01|33% of $0.01||Y|||3|1||33% of $0.01|#VALUE!|1% of 0.01|0.03030303|||||
Street & Sidewalks, Inspection of Certain Structures in Public R_O_W|PWE|Annual Inspection Fee: Minimum Fee|40-192(3)|103.23|100||Y|||3|1||105.72|#VALUE!|2.49|0.024120895|||||
Street & Sidewalks, Transportation of Earth Materials on Streets & Alleys|PWE|Issuance of permit for transporting earth materials to the owner of a vehicle|40-178|5.16|5||Y|||1|1||5.28|#VALUE!|0.12|0.023255814|||||
Streets & Sidewalks|PWE|Private street permit, bond or deposit|40-59/60|Calculation|Calculation||N|||6|6||Calculation|Calculation|Calculation|Calculation|||||
Streets & Sidewalks|PWE|Installation of street lights at expense to property owner|40-3|1 Year Operating Costs|1 Year Operating Costs||N|||6|4||1 Year Operating Costs|1 Year Operating Costs|0|0|||||
Sidewalks, Driveways, Curbs & Gutters -Construction or Repair|PWE|Permit to construct or repair sidewalks, curbs or gutters |40-88|5.16|5||Y|||1|1||5.28|#VALUE!|0.12|0.023255814|||||
Streets & Sidewalks - Alleys|PWE|Permit to work on an alley|40-345|Cash Deposit|Cash Deposit||N|||1|6||Cash Deposit|Cash Deposit|Cash Deposit|Cash Deposit|||||
Streets & Sidewalks - Bus Shelters|PWE|Construction & maintenance of bus shelters for users of public transportation|40-200(a)|Calculation|Calculation||N|||1|6||Calculation|TBD|TBD|TBD|||||
Streets & Sidewalks - Bus Shelters|PWE|Inspection of bus shelters for users of public transportation|40-200(a)|10.32|10||Y|||1|1||10.56|#VALUE!|0.24|0.023255814|||||
Streets & Sidewalks - Sales & Performance|PWE|Food vendor's permit|40-264|103.23|100||Y|||1|1||105.72|#VALUE!|2.49|0.024120895|||||
Streets & Sidewalks - Sales & Performance|PWE|Food vendor's permit - 30 days|40-264|30.96|30||Y|||1|1||31.7|#VALUE!|0.74|0.023901809|||||
Streets & Sidewalks - Sidewalk cafes|PWE|Contractor's bond payable to the City|40-95|2064.6|2000||Y|||1|1||2114.59|#VALUE!|49.99|0.024212923|||||
Streets & Sidewalks- Sidewalk Cafes- License|PWE|Renewal of a sidewalk caf‚ license|40-10.1(f)(3)|Cash bond|Cash bond||N|||2|6||Cash bond|Cash bond|Cash bond|Cash bond|||||
Streets & Sidewalks- Sidewalk Cafes- License|PWE|Initial Fee for a sidewalk caf‚ license|40-10.1(f)(1)|154.84|150||Y|||2|1||158.58|#VALUE!|3.74|0.024153965|||||
Streets & Sidewalks- Sidewalk Cafes- License|PWE|Renewal of a sidewalk caf‚ license|40-10.1(f)(2)|77.42|75||Y|||2|1||79.29|#VALUE!|1.87|0.024153965|||||
Streets & Sidewalks - Sales & Performance|PWE|Merchandise vendor (performer) permit - 1 year|40-264|51.61|50||Y|||1|1||52.85|#VALUE!|1.24|0.024026351|||||
Streets & Sidewalks - Sales & Performance|PWE|Merchandise vendor (performer) permit - 1 month|40-264|10.32|10||Y|||1|1||10.56|#VALUE!|0.24|0.023255814|||||
Subdivision Identification|PWE|Application fee for 1 or 2 markers in the public street right-of-way Base Charge|41-12(d)|180.65|175||Y|||6|1||185.02|#VALUE!|4.37|0.024190423|||||
Subdivision Identification|PWE|Application fee for markers Base Charge Plus Fee for each marker above  first 2|41-12(d)|36.13|35||Y|||6|1||37|#VALUE!|0.87|0.024079712|||||
Subdivision Identification|PWE|Application procedure for a tower permit|41-57(a)|Valuation Table|Valuation Table||N|||6|1||Valuation Table|#VALUE!|TBD|TBD|||||
Subdivision Identification|PWE|Regulation of towers - notice of pending application|41-58(g)|At owner's expense|At owner's expense||N|||6|6||At owner's expense|At owner's expense|TBD|TBD|||||
Subdivision Identification|PWE|Removal of towers at owner's expense|41-62.1|At owner's expense|At owner's expense||N|||6|6||At owner's expense|At owner's expense|TBD|TBD|||||
Subdivisions, Developments & Platting|PWE|Administrative Fee on any license, permit or service for which the fee is greater than $50.00|42-54|25.8|25||Y|||1|1||26.42|#VALUE!|0.62|0.024031008|||||
Subdivisions, Developments & Platting|PWE|Expiration of subdivision plat and extension of approval|42-80(e)|To pay all applicable fees|To pay all applicable fees||Y|||1|1||To pay all applicable fees|#VALUE!|To pay all applicable fees|To pay all applicable fees|||||
Sewer Rates|PWE|Single Family Residential Base Charge for  5/8 or 3/4 inch meter (additional Volume Charge applies)|47-122(a)(1)a|9.23|8.48|9.23|N||40634|6|5||9.23|9.23|0|0|||||
Sewer Rates|PWE|Single Family Residential Base Charge for 1 inch meter (additional Volume Charge applies)|47-122(a)(1)a|9.7|8.91|9.7|N||40634|6|5||9.7|9.7|0|0|||||
Sewer Rates|PWE|Single Family Residential Base Charge for 1.5 inch meter  (additional Volume Charge apples)|47-122(a)(1)a|11.24|10.32|11.24|N||40634|6|5||11.24|11.24|0|0|||||
Sewer Rates|PWE|Single Family Residential Base Charge for 2 inch meter (additional Volume Charge applies)|47-122(a)(1)a|11.71|10.75|11.71|N||40634|6|5||11.71|11.71|0|0|||||
Sewer Rates|PWE|Single Family Residential Base Charge for 3 inch meter (additional Volume Charge applies)|47-122(a)(1)a|20.98|19.27|20.98|N||40634|6|5||20.98|20.98|0|0|||||
Sewer Rates|PWE|Single Family Residential Volume Charge regardless of meter size for 0 gallons (Base Charge based on meter size applies)|47-122(a)(1)b|0|0|0|N||40634||||0|0|0|0|||||
Sewer Rates|PWE|Single Family Residential Volume Charge regardless of meter size for  1,000 gallons  (additional Base Charge based on meter size applies)|47-122(a)(1)b|0.15|0.14|0.15|N||40634|6|5||0.15|0.15|0|0|||||
Sewer Rates|PWE|Single Family Residential Volume Charge regardless of meter size for 2,000 gallons (additional Base Charge based on meter size applies) |47-122(a)(1)b|0.45|0.42|0.45|N||40634|6|5||0.45|0.45|0|0|||||
Sewer Rates|PWE|Single Family Residential Volume Charge regardless of meter size for 3,000 gallons (additional Base Charge based on meter size applies)|47-122(a)(1)b|0.69|0.64|0.69|N||40634|6|5||0.69|0.69|0|0|||||
Sewer Rates|PWE|Single Family Residential Volume Charge regardless of meter size for 4,000  gallons (additional Base Charge  based on meter size applies) |47-122(a)(1)b|13.53|12.44|13.53|N||40634|6|5||13.53|13.53|0|0|||||
Sewer Rates|PWE|Single Family Residential Volume Charge regardless of meter size for  5,000 gallons (additional Base Charge based on meter size applies)|47-122(a)(1)b|18.17|16.7|18.17|N||40634|6|5||18.17|18.17|0|0|||||
Sewer Rates|PWE|Single Family Residential Volume Charge regardless of meter size for every 1,000 gallons over the first 5,000 gallons (additional Base Charge based on meter size Plus Volume Charge for the first 5,000 gallons applies)|47-122(a)(1)b|6.75|6.2|6.75|N||40634|6|5||6.75|6.75|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 5/8 inch meter (additional Volume Charge applies)|47-122(a)(2)a|8.34|8.08|8.34|N||40634|6|5||8.34|8.34|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 3/4 inch meter (additional Volume Charge  applies)|47-122(a)(2)a|8.34|8.08|8.34|N||40634|6|5||8.34|8.34|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 1 inch meter (additional Volume Charge  applies)|47-122(a)(2)a|8.76|8.48|8.76|N||40634|6|5||8.76|8.76|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 1.5 inch meter (additional Volume Charge applies)|47-122(a)(2)a|10.16|9.84|10.16|N||40634|6|5||10.16|10.16|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 2 inch meter (additional Volume Charge applies)|47-122(a)(2)a|10.58|10.25|10.58|N||40634|6|5||10.58|10.58|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 3 inch meter (additional Volume Charge applies)|47-122(a)(2)a|18.96|18.36|18.96|N||40634|6|5||18.96|18.96|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 4 inch meter (additional Volume Charge applies)|47-122(a)(2)a|21.48|20.79|21.48|N||40634|6|5||21.48|21.48|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 6 inch meter (additional Volume Charge applies)|47-122(a)(2)a|30.7|29.72|30.7|N||40634|6|5||30.7|30.7|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 8 inch meter (additional Volume Charge applies)|47-122(a)(2)a|74.56|72.18|74.56|N||40634|6|5||74.56|74.56|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Base Charge for 10 inch meter (additional Volume Charge applies)|47-122(a)(2)a|90.63|87.73|90.63|N||40634|6|5||90.63|90.63|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Volume Charge regardless of meter size for 0 gallons (Base Charge based on meter size applies)|47-122(a)(2)b|0|0|0|N||40634|6|5||0|0|0|0|||||
Sewer Rates|PWE|Multi-Family Residential Volume Charge regardless of meter size for every 1,000 gallons (additional Base Charge based on meter size applies)|47-122(a)(2)b|5.3|5.13|5.3|N||40634|6|5||5.3|5.3|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 5/8 inch meter (additional Volume Charge applies)|47-122(b)(1)a|8.34|8.08|8.34|N||40634|6|5||8.34|8.34|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 3/4 inch meter (additional Volume Charge applies)|47-122(b)(1)a|8.34|8.08|8.34|N||40634|6|5||8.34|8.34|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 1 inch meter  (additional Volume Charge applies)|47-122(b)(1)a|8.76|8.48|8.76|N||40634|6|5||8.76|8.76|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 1.5 inch meter  (additional Volume Charge applies)|47-122(b)(1)a|10.16|9.84|10.16|N||40634|6|5||10.16|10.16|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 2 inch meter  (additional Volume Charge applies) |47-122(b)(1)a|10.58|10.25|10.58|N||40634|6|5||10.58|10.58|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 3 inch meter  (additional Volume Charge applies)|47-122(b)(1)a|18.96|18.36|18.96|N||40634|6|5||18.96|18.96|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 4 inch meter  (additional Volume Charge applies)|47-122(b)(1)a|21.48|20.79|21.48|N||40634|6|5||21.48|21.48|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 6 inch meter  (additional Volume Charge applies)|47-122(b)(1)a|30.7|29.72|30.7|N||40634|6|5||30.7|30.7|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 8 inch meter  (additional Volume Charge applies)|47-122(b)(1)a|74.56|72.18|74.56|N||40634|6|5||74.56|74.56|0|0|||||
Sewer Rates|PWE|Commercial Base Charge for 10 inch meter  (additional Volume Charge applies)|47-122(b)(1)a|90.63|87.73|90.63|N||40634|6|5||90.63|90.63|0|0|||||
Sewer Rates|PWE|Commercial Volume Charge regardless of meter size for 0 gallons (Base Charge based on meter size applies)|47-122(b)(1)b|0|0|0|N||40634|6|5||0|0|0|0|||||
Sewer Rates|PWE|Commercial Volume Charge regardless of meter size for every 1,000 gallons (additional Base Charge based on meter size applies)|47-122(b)(1)b|5.3|5.13|5.3|N||40634|6|5||5.3|5.3|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 5/8 inch meter (additional Volume Charge applies)|47-122(b)(2)a|14.11|13.66|14.11|N||40634|6|5||14.11|14.11|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 3/4 inch meter (additional Volume Charge applies)|47-122(b)(2)a|14.11|13.66|14.11|N||40634|6|5||14.11|14.11|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 1 inch meter (additional Volume Charge applies)|47-122(b)(2)a|14.11|13.66|14.11|N||40634|6|5||14.11|14.11|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 1.5 inch meter (additional Volume Charge applies)|47-122(b)(2)a|14.11|13.66|14.11|N||40634|6|5||14.11|14.11|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 2 inch meter (additional Volume Charge applies)|47-122(b)(2)a|14.11|13.66|14.11|N||40634|6|5||14.11|14.11|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 3 inch meter  (additional Volume Charge applies)|47-122(b)(2)a|18.79|18.19|18.79|N||40634|6|5||18.79|18.79|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 4 inch meter  (additional Volume Charge applies)|47-122(b)(2)a|21.48|20.79|21.48|N||40634|6|5||21.48|21.48|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 6 inch meter  (additional Volume Charge applies)|47-122(b)(2)a|30.7|29.72|30.7|N||40634|6|5||30.7|30.7|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 8 inch meter  (additional Volume Charge  applies)|47-122(b)(2)a|74.56|72.18|74.56|N||40634|6|5||74.56|74.56|0|0|||||
Sewer Rates|PWE|Industrial Base Charge for 10 inch meter (additional Volume Charge applies)|47-122(b)(2)a|90.63|87.73|90.63|N||40634|6|5||90.63|90.63|0|0|||||
Sewer Rates|PWE|Industrial Volume Charge regardless of meter size for 0 gallons (Base Charge based on meter size applies)|47-122(b)(2)b|0|0|0|N||40634|6|5||0|0|0|0|||||
Sewer Rates|PWE|Industrial Volume Charge regardless of meter size for 1,000 gallons (additional Base Charge based on meter size applies)|47-122(b)(2)b|3.26|3.15|3.26|N||40634|6|5||3.26|3.26|0|0|||||
Sewer Rates|PWE|Industrial Volume Charge regardless of meter size for 2,000 gallons (additional Base Charge based on meter size applies)|47-122(b)(2)b|6.52|6.3|6.52|N||40634|6|5||6.52|6.52|0|0|||||
Sewer Rates|PWE|Industrial Volume Charge regardless of meter size for every additional 1,000 gallons, after the first 2,000  (additional Base Charge based on meter size Plus Volume Charge for the first 2,000 gallons applies)|47-122(b)(2)b|5.81|5.62|5.81|N||40634|6|5||5.81|5.81|0|0|||||
Sewer Rates|PWE|Sanitary Sewer Service Charge for Single Family Residence not receiving water from the city|47-123(1)|22.78|20.92|22.78|N||40634|6|5||22.78|22.78|0|0|||||
Sewer Rates|PWE|Sanitary Sewer Service Charge for Duplex Residence not receiving water from the city, per Single Family unit |47-123(2)|50.78|49.16|50.78|N||40634|6|5||50.78|50.78|0|0|||||
Sewer Rates|PWE|Sanitary Sewer Service Charge for Multiple Dwelling Units not receiving water from the city, per single family unit|47-123(3)|29.7|28.75|29.7|N||40634|6|5||29.7|29.7|0|0|||||
Sewer Rates|PWE|Sanitary Sewer Service Charge for Commercial Users not receiving water from the city, per commercial equivalent |47-123(4)|56.05|54.26|56.05|N||40634|6|5||56.05|56.05|0|0|||||
Sewer Rates|PWE|Sanitary Sewer Service Charge for Industrial Users not receiving water from the city, per commercial equivalent|47-123(5)|56.03|54.24|56.03|N||40634|6|5||56.03|56.03|0|0|||||
Sewer Rates|PWE|Volume Charge for establishments that produce industrial waste, per 1,000 gallons  (additional Base Charge for Industrial Customers based on meter size applies.  See Industrial Base Charge by meter size)|47-143(a)|3.9|3.78|3.9|N||40634|6|5|Keep 4 decimal points|3.9|3.9|0|0|||||
Sewer Rates|PWE|Establishments that produce industrial waste, Biochemical Oxygen Demand (BOD) content formula charge per pound  (additional Basic Service Charge for Industrial Customers based on meter size applies.  See Industrial Base Charge by meter size)|47-143(a)|0.6723|0.6509|0.6723|N||40634|6|5|Only 4 decimal points|0.6723|0.6723|0|0|||||
Sewer Rates|PWE|Establishments that produce industrial waste, Suspended Solids formula, charge per pound  (additional Basic Service Charge for Industrial Customers based on meter size applies.  See Industrial Base Charge by meter size)|47-143(a)|0.2653|0.2569|0.2653|N||40634|6|5|Only 4 decimal points|0.2653|0.2653|0|0|||||
Sewer Rates|PWE|Contract Wholesale Wastewater Service Charge for municipalities and conservation and reclamation districts that have made capital contributions, per 1,000 gallons (applicable if specified requirements have been met)|47-140(b)|1.305|1.263|1.305|N||40634|6|5|Only 3 decimal points|1.305|1.305|0|0|||||
Sewer Rates|PWE|Contract Wholesale Wastewater Service Charge for other municipalities and conservation and reclamation districts, per 1,000 gallons|47-140(c) |4.983|4.823|4.983|N||40634|6|5|Only 3 decimal points|4.983|4.983|0|0|||||
Water & Sewer Fees|PWE|Collection and disposal of domestic sewage from on-site sanitary facilities in the Lake Houston vicinity, for each collection and disposal of up to 500 gallons of domestic sewage from any on-site facility |47-139(b) / 2011-1086 (12.7.11)|100|100||N||N|6|5 (Fee increases to $160 on Jan. 1, 2013, then beginning April 1, 2014, increases annually per Ord. 2010-305.)||160|160|160|1.6|||||
Water & Sewer Fees|PWE|Submeter credit program, application fee|47-129(b)|258.07|250||Y|Y|41275|6|1||264.31|#VALUE!|6.24|0.024179486|||||
Water & Sewer Fees|PWE|Submeter credit program, monthly administrative processing fee|47-129(d)|41.29|40||Y|Y||6|1||42.28|#VALUE!|0.99|0.02397675|||||
Water Rates|PWE|Single Family Residential Base Charge plus Volume Charge for 5/8 or 3/4 inch meter and 0 gallons|47-61(c)(1)a|4.34|3.99|4.34|N||40634|6|5||4.34|4.34|0|0|||||
